chain_name;wallet_address;transaction_type;transaction_status;sent_amount;transaction_url;date;error
Binance Smart Chain;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;RANDOM-transaction;SUCCESS;0.0009265306122448981;https://testnet.bscscan.com/tx/0x16d73d13455c8a89d1e0fb4aed5ba383bcfe11d8ceade79e285071df7a2f1b49;14-11-2023;-
Binance Smart Chain;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;RANDOM-transaction;SUCCESS;0.0005959183673469389;https://testnet.bscscan.com/tx/0x2e886be61c2c7e893b49a12fa4266e172b9987fb8f066bcfd8e6ea6b1510e054;14-11-2023;-
Binance Smart Chain;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;RANDOM-transaction;SUCCESS;0.00033877551020408165;https://testnet.bscscan.com/tx/0x151ef15a04c8e6a522932325e5f4a8df1e83ccfe6338ab3fe27d879ea0667576;14-11-2023;-
Binance Smart Chain;0x1364aa030fF4F4a683B8E07471b70b4627d03476;RANDOM-transaction;SUCCESS;0.0003020408163265306;https://testnet.bscscan.com/tx/0x0e7d3a9aa9ad9414b37a442eed3ae9cff59d4864f37a0bc66b978674ab65a77c;14-11-2023;-
Binance Smart Chain;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;RANDOM-transaction;SUCCESS;0.0005040816326530613;https://testnet.bscscan.com/tx/0x860de774ab0f140cf7e62b3287b300378ca2563bfcf9c0c4e893f1ec976d4acb;14-11-2023;-
Binance Smart Chain;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;SELF-transaction;SUCCESS;0.00028367346938775514;https://testnet.bscscan.com/tx/0x8abbdfe9c6c385dfc0f7cba574e9b5baf3b48fc84badf4fe020a76e1adf9eb7b;14-11-2023;-
Binance Smart Chain;0x1364aa030fF4F4a683B8E07471b70b4627d03476;RANDOM-transaction;SUCCESS;0.000742857142857143;https://testnet.bscscan.com/tx/0xfdf4b165b8975f2f45fa0cdf9f95d8da34267c75718c175c2010964975a57bca;14-11-2023;-
Binance Smart Chain;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;RANDOM-transaction;SUCCESS;0.00041224489795918366;https://testnet.bscscan.com/tx/0x1a0ad0ecb9034cc59d7be32c7def4c3287e46d24eb4bf13eafa9dff2aa6d13d3;14-11-2023;-
Binance Smart Chain;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;RANDOM-transaction;SUCCESS;0.0002469387755102041;https://testnet.bscscan.com/tx/0x454533e33b6d9af2f3d8e4de44447bff312111130d3c994bb22dd5d571a6b345;14-11-2023;-
Binance Smart Chain;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;RANDOM-transaction;SUCCESS;0.0002469387755102041;https://testnet.bscscan.com/tx/0x780baf3aedff45949c5b1a7c6399a3d0998f580d420c1fbf891b341981fd76cb;14-11-2023;-
Binance Smart Chain;0x1364aa030fF4F4a683B8E07471b70b4627d03476;SELF-transaction;SUCCESS;0.000779591836734694;https://testnet.bscscan.com/tx/0x3650e39b875a932e7e9f2589754aa7b103362e056a2b54173743f8b8963c9475;14-11-2023;-
Binance Smart Chain;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;RANDOM-transaction;SUCCESS;0.0007979591836734694;https://testnet.bscscan.com/tx/0x130ac3182e3470a4b7e7afe86e6bd3a14930661ca55dc77cfac831d951005734;14-11-2023;-
Binance Smart Chain;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;RANDOM-transaction;SUCCESS;0.00033877551020408165;https://testnet.bscscan.com/tx/0xa19e506cc6a5c5df15f32ab42e5926c51e51f83fea7df85c69905d6d60330a4f;14-11-2023;-
